id	uniprot	gene_name	description	p_value	fdr	log_fc	sub_local	ubi_part	in_mito
Q61086	Q61086	FZD3	Frizzled-3 OS=Mus musculus GN=Fzd3 PE=1 SV=1	0.06369564779628308	0.1360246763283546	-0.19870495097016824	NA	NA	FALSE
Q61090	Q61090	FZD7	Frizzled-7 OS=Mus musculus GN=Fzd7 PE=1 SV=2	0.05784450683456472	0.12695347026322887	-0.1051079122136699	NA	NA	FALSE
P97855	P97855	G3BP1	Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1	0.9395043854712779	0.9625880313059532	0.008827730715445455	NA	NA	FALSE
P97379	P97379	G3BP2	Ras GTPase-activating protein-binding protein 2 OS=Mus musculus GN=G3bp2 PE=1 SV=2	0.161146727811239	0.26987223091279783	0.1336964541322875	NA	NA	FALSE
P97324	P97324	G6PD2	Glucose-6-phosphate 1-dehydrogenase 2 OS=Mus musculus GN=G6pd2 PE=1 SV=3	0.0160250012979454	0.05137692625251076	0.2400393771350968	NA	NA	FALSE
Q00612	Q00612	G6PDX	Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus GN=G6pdx PE=1 SV=3	0.2529431570047502	0.3768840988720134	-0.06490027547053195	NA	NA	FALSE
P70699	P70699	GAA	Lysosomal alpha-glucosidase OS=Mus musculus GN=Gaa PE=1 SV=2	0.05004177427474262	0.11423770003230478	0.11733857000272271	NA	NA	FALSE
Q9QYY0	Q9QYY0	GAB1	GRB2-associated-binding protein 1 OS=Mus musculus GN=Gab1 PE=1 SV=2	0.4923927397171117	0.613642322110262	0.047638938339501495	NA	NA	FALSE
Q9Z1S8	Q9Z1S8	GAB2	GRB2-associated-binding protein 2 OS=Mus musculus GN=Gab2 PE=1 SV=2	0.28359990635996196	0.4094493129732545	0.22598238846435983	NA	NA	FALSE
Q9DCD6	Q9DCD6	GABARAP	Gamma-aminobutyric acid receptor-associated protein OS=Mus musculus GN=Gabarap PE=1 SV=2	0.7017354516135499	0.7910173454393141	-0.02923338502664487	NA	NA	FALSE
Q8R3R8	Q8R3R8	GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Mus musculus GN=Gabarapl1 PE=1 SV=2	0.1102339736548129	0.20349270588897914	-0.126715804774336	NA	NA	FALSE
P60521	P60521	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus GN=Gabarapl2 PE=1 SV=1	0.19864150934921912	0.31583697025403296	0.07279617931560659	NA	NA	FALSE
Q9WV18	Q9WV18	GABBR1	Gamma-aminobutyric acid type B receptor subunit 1 OS=Mus musculus GN=Gabbr1 PE=1 SV=1	0.2305241760118702	0.3524636325969807	0.06274907886294076	NA	NA	FALSE
Q80T41	Q80T41	GABBR2	Gamma-aminobutyric acid type B receptor subunit 2 OS=Mus musculus GN=Gabbr2 PE=1 SV=2	9.863718398002632e-4	0.008326256218556878	-0.17866108139333714	NA	NA	FALSE
P62812	P62812	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1 OS=Mus musculus GN=Gabra1 PE=1 SV=1	0.5404809517797082	0.657341698110456	-0.03151681602835089	NA	NA	FALSE
P26048	P26048	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2 OS=Mus musculus GN=Gabra2 PE=1 SV=1	4.49949880653242e-4	0.00505284830069305	-0.2768386902836952	NA	NA	FALSE
P26049	P26049	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3 OS=Mus musculus GN=Gabra3 PE=1 SV=1	7.809011132160116e-4	0.007225645655571232	-0.3044529256700356	NA	NA	FALSE
Q9D6F4	Q9D6F4	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4 OS=Mus musculus GN=Gabra4 PE=2 SV=1	7.442242186855695e-5	0.0018184072218274364	-0.23376709039696097	NA	NA	FALSE
Q8BHJ7	Q8BHJ7	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5 OS=Mus musculus GN=Gabra5 PE=1 SV=1	0.30392655317059525	0.43000691926760315	-0.06522373914697313	NA	NA	FALSE
P50571	P50571	GABRB1	Gamma-aminobutyric acid receptor subunit beta-1 OS=Mus musculus GN=Gabrb1 PE=1 SV=1	0.14291681939254128	0.24749299703774796	-0.10911968998820588	NA	NA	FALSE
P63137	P63137	GABRB2	Gamma-aminobutyric acid receptor subunit beta-2 OS=Mus musculus GN=Gabrb2 PE=1 SV=2	2.98267006167641e-4	0.003846721904285762	-0.2728723049091283	NA	NA	FALSE
P63080	P63080	GABRB3	Gamma-aminobutyric acid receptor subunit beta-3 OS=Mus musculus GN=Gabrb3 PE=2 SV=1	2.782647653441824e-4	0.00373507748332159	-0.23239142625568912	NA	NA	FALSE
Q9R0Y8	Q9R0Y8	GABRG1	Gamma-aminobutyric acid receptor subunit gamma-1 OS=Mus musculus GN=Gabrg1 PE=2 SV=2	0.003969515829950668	0.020149191393621913	-0.16590052431219418	NA	NA	FALSE
P22723	P22723	GABRG2	Gamma-aminobutyric acid receptor subunit gamma-2 OS=Mus musculus GN=Gabrg2 PE=1 SV=3	0.19341119164754839	0.30964602092536864	-0.08517274852435262	NA	NA	FALSE
P48318	P48318	GAD1	Glutamate decarboxylase 1 OS=Mus musculus GN=Gad1 PE=1 SV=2	4.856408042364873e-4	0.005246430449912311	-0.2970978668813249	NA	NA	FALSE
P48320	P48320	GAD2	Glutamate decarboxylase 2 OS=Mus musculus GN=Gad2 PE=1 SV=1	0.09962172479671619	0.18963295453544118	-0.2800281101995003	NA	NA	FALSE
Q9CR59	Q9CR59	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Mus musculus GN=Gadd45gip1 PE=1 SV=1	0.7459634417060635	0.8235088824340676	-0.06361782492673729	Matrix	NA	TRUE
Q99KY4	Q99KY4	GAK	Cyclin-G-associated kinase OS=Mus musculus GN=Gak PE=1 SV=2	0.05500217234783004	0.12221619468407705	-0.16466999086119913	NA	NA	FALSE
P54818	P54818	GALC	Galactocerebrosidase OS=Mus musculus GN=Galc PE=1 SV=2	0.007311094063311206	0.03071248714977273	0.1264598794541952	NA	NA	FALSE
Q8R059	Q8R059	GALE	UDP-glucose 4-epimerase OS=Mus musculus GN=Gale PE=1 SV=1	0.20139819696229305	0.31868093144425574	0.11042558187302198	NA	NA	FALSE
Q9R0N0	Q9R0N0	GALK1	Galactokinase OS=Mus musculus GN=Galk1 PE=1 SV=2	0.016484578163998415	0.052361442324877286	0.30646415578307873	NA	NA	FALSE
O08912	O08912	GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=Galnt1 PE=1 SV=1	1.0118500422924426e-4	0.0020819480310984304	0.2729888824029919	NA	NA	FALSE
Q8CF93	Q8CF93	GALNT13	Polypeptide N-acetylgalactosaminyltransferase 13 OS=Mus musculus GN=Galnt13 PE=2 SV=1	0.0010870011240045358	0.008853114623240068	-0.2282329370881498	NA	NA	FALSE
Q9JJ61	Q9JJ61	GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16 OS=Mus musculus GN=Galnt16 PE=2 SV=2	0.003782229077228203	0.019556531449953278	-0.3556228869977893	NA	NA	FALSE
Q6PB93	Q6PB93	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2 OS=Mus musculus GN=Galnt2 PE=1 SV=1	5.46821397905666e-4	0.00571012995642728	-0.2901368904267418	NA	NA	FALSE
O35969	O35969	GAMT	Guanidinoacetate N-methyltransferase OS=Mus musculus GN=Gamt PE=1 SV=1	0.02014333927748421	0.0598274393070578	-0.16202544841234806	NA	NA	FALSE
Q8CA72	Q8CA72	GAN	Gigaxonin OS=Mus musculus GN=Gan PE=1 SV=2	8.061843584620692e-4	0.007318843486473502	0.24205937658898208	NA	E3 complex	FALSE
Q8BHN3	Q8BHN3	GANAB	Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1	0.5781148040027293	0.6897375748351158	0.04963903093766571	NA	NA	FALSE
P06837	P06837	GAP43	Neuromodulin OS=Mus musculus GN=Gap43 PE=1 SV=1	0.0689630006758839	0.14383580167644341	0.1281147757646743	NA	NA	FALSE
P16858	P16858	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2	0.1741032165888478	0.28628170866541613	0.1274740138961229	NA	NA	FALSE
Q6PAR5	Q6PAR5	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Mus musculus GN=Gapvd1 PE=1 SV=2	0.11039868011815063	0.203700219510039	0.11049597343242083	NA	NA	FALSE
Q9CY66	Q9CY66	GAR1	H/ACA ribonucleoprotein complex subunit 1 OS=Mus musculus GN=Gar1 PE=1 SV=1	0.644073726426734	0.7439854402214628	0.021077167831203666	NA	NA	FALSE
Q3UFT3	Q3UFT3	GAREM1	GRB2-associated and regulator of MAPK protein OS=Mus musculus GN=Garem1 PE=1 SV=2	0.0025913263247756956	0.015407553385429635	-0.4779322237521141	NA	NA	FALSE
Q3V0G7	Q3V0G7	GARNL3	GTPase-activating Rap/Ran-GAP domain-like protein 3 OS=Mus musculus GN=Garnl3 PE=1 SV=1	0.5753769654261598	0.6877475480108216	0.042233903425876226	NA	NA	FALSE
Q9CZD3	Q9CZD3	GARS	Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1	0.005826036961218886	0.026167425338480488	0.1560041776975101	Matrix	NA	TRUE
Q64737	Q64737	GART	Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=1 SV=3	3.883702925859455e-4	0.004557703902673713	0.23609817966584734	NA	NA	FALSE
Q8JZP9	Q8JZP9	GAS2L1	GAS2-like protein 1 OS=Mus musculus GN=Gas2l1 PE=1 SV=1	0.008188136393572692	0.03302178797021096	0.11053495446111812	NA	NA	FALSE
Q60780	Q60780	GAS7	Growth arrest-specific protein 7 OS=Mus musculus GN=Gas7 PE=1 SV=1	0.04454816928952015	0.1053094478102602	-0.1726072520508268	NA	NA	FALSE
Q99JT1	Q99JT1	GATB	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus GN=Gatb PE=1 SV=1	0.5709332895626381	0.683742624203389	0.04021836513403927	Matrix	NA	TRUE
Q8CBY0	Q8CBY0	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial OS=Mus musculus GN=Gatc PE=1 SV=1	0.3613414785946161	0.4884787008016692	-0.06971299220469603	Matrix	NA	TRUE
Q9D964	Q9D964	GATM	Glycine amidinotransferase, mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1	0.6268964884344218	0.7306199990976913	-0.06117505961291683	Matrix	NA	TRUE
P17439	P17439	GBA	Glucosylceramidase OS=Mus musculus GN=Gba PE=1 SV=1	0.20930743111147782	0.328454084697013	0.11737472953914878	NA	NA	FALSE
Q69ZF3	Q69ZF3	GBA2	Non-lysosomal glucosylceramidase OS=Mus musculus GN=Gba2 PE=1 SV=2	0.08580195581746972	0.16922961677072443	0.1407173484167884	NA	NA	FALSE
O55126	O55126	GBAS	Protein NipSnap homolog 2 OS=Mus musculus GN=Gbas PE=1 SV=1	0.3753337169428209	0.5025069348196372	0.034731887323660886	Matrix	NA	TRUE
Q9D6Y9	Q9D6Y9	GBE1	1,4-alpha-glucan-branching enzyme OS=Mus musculus GN=Gbe1 PE=1 SV=1	0.29294935546711154	0.41864249907397366	-0.11276884955599345	NA	NA	FALSE
Q8VC88	Q8VC88	GCA	Grancalcin OS=Mus musculus GN=Gca PE=1 SV=1	0.0029156392840500476	0.01670084589902294	0.24532284296142157	NA	NA	FALSE
O88986	O88986	GCAT	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2	0.0010332706398500791	0.008594558314178517	0.31235489846593645	unknown	NA	TRUE
Q8CHG3	Q8CHG3	GCC2	GRIP and coiled-coil domain-containing protein 2 OS=Mus musculus GN=Gcc2 PE=1 SV=2	0.8981129035719564	0.934880381401662	0.010128927568044297	NA	NA	FALSE
Q60759	Q60759	GCDH	Glutaryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Gcdh PE=1 SV=2	0.12585542939813868	0.2237873161700193	0.08538505272492702	Matrix	NA	TRUE
P97494	P97494	GCLC	Glutamate--cysteine ligase catalytic subunit OS=Mus musculus GN=Gclc PE=1 SV=4	0.622747630337525	0.7276828746051222	-0.04866600904851501	NA	NA	FALSE
O09172	O09172	GCLM	Glutamate--cysteine ligase regulatory subunit OS=Mus musculus GN=Gclm PE=1 SV=1	0.05723317158011339	0.12602475224771653	0.12860890017380042	NA	NA	FALSE
E9PVA8	E9PVA8	GCN1	eIF-2-alpha kinase activator GCN1 OS=Mus musculus GN=Gcn1 PE=1 SV=1	8.694932026252785e-4	0.007681751387600448	0.22899748608951656	NA	NA	FALSE
Q91WK5	Q91WK5	GCSH	Glycine cleavage system H protein, mitochondrial OS=Mus musculus GN=Gcsh PE=1 SV=2	1.8805634070832018e-4	0.0029557746283201377	0.4141448300343762	Matrix	NA	TRUE
Q9R111	Q9R111	GDA	Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1	0.754400875697173	0.8293106287321295	-0.046006018835186055	MIM	NA	TRUE
O88741	O88741	GDAP1	Ganglioside-induced differentiation-associated protein 1 OS=Mus musculus GN=Gdap1 PE=1 SV=1	0.028227598709242394	0.07506957054690101	0.15654832100101576	MOM	NA	TRUE
Q8VE33	Q8VE33	GDAP1L1	Ganglioside-induced differentiation-associated protein 1-like 1 OS=Mus musculus GN=Gdap1l1 PE=1 SV=1	0.1639579214735418	0.27353747030829306	-0.05816788941003002	NA	NA	FALSE
Q9DBL2	Q9DBL2	GDAP2	Ganglioside-induced differentiation-associated protein 2 OS=Mus musculus GN=Gdap2 PE=1 SV=1	0.12118406774928545	0.21769280407001163	0.07218741466159144	NA	NA	FALSE
Q9JL56	Q9JL56	GDE1	Glycerophosphodiester phosphodiesterase 1 OS=Mus musculus GN=Gde1 PE=1 SV=1	0.7850192114018825	0.8518902094584968	0.012080302632575028	NA	NA	FALSE
P50396	P50396	GDI1	Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3	0.17781325207752313	0.29085300516341717	-0.058337669067932946	NA	NA	FALSE
Q61598	Q61598	GDI2	Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1	0.00741986730392871	0.03101525764337469	0.13606366267104333	NA	NA	FALSE
Q9CRY7	Q9CRY7	GDPD1	Glycerophosphodiester phosphodiesterase domain-containing protein 1 OS=Mus musculus GN=Gdpd1 PE=1 SV=1	0.001435213742824912	0.010623978652508668	0.18586442323485128	NA	NA	FALSE
Q640M6	Q640M6	GDPD5	Glycerophosphodiester phosphodiesterase domain-containing protein 5 OS=Mus musculus GN=Gdpd5 PE=2 SV=1	0.239800827378746	0.36216880478058855	-0.05447879498379342	NA	NA	FALSE
Q3TLS3	Q3TLS3	GDPGP1	GDP-D-glucose phosphorylase 1 OS=Mus musculus GN=Gdpgp1 PE=1 SV=2	0.29065825078452834	0.4161289445312943	-0.08713717858955984	NA	NA	FALSE
Q8BX17	Q8BX17	GEMIN5	Gem-associated protein 5 OS=Mus musculus GN=Gemin5 PE=1 SV=2	0.04488467739603725	0.10582497441093591	0.11797212946308559	NA	NA	FALSE
Q9D1H7	Q9D1H7	GET4	Golgi to ER traffic protein 4 homolog OS=Mus musculus GN=Get4 PE=1 SV=2	0.03697431287280113	0.0916557489056131	0.14156509527169775	NA	NA	FALSE
P03995	P03995	GFAP	Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4	0.13399542468064815	0.23516873776022842	0.07591390080456281	NA	NA	FALSE
P56213	P56213	GFER	FAD-linked sulfhydryl oxidase ALR OS=Mus musculus GN=Gfer PE=1 SV=2	0.8543677106516998	0.90557430056206345	0.06575841218474791	IMS	NA	TRUE
Q8K0D5	Q8K0D5	GFM1	Elongation factor G, mitochondrial OS=Mus musculus GN=Gfm1 PE=1 SV=1	0.44179924585421704	0.5673279168175175	-0.06163782979392599	Matrix	NA	TRUE
Q8R2Q4	Q8R2Q4	GFM2	Ribosome-releasing factor 2, mitochondrial OS=Mus musculus GN=Gfm2 PE=1 SV=2	0.5915820079342274	0.7012214249817306	-0.03030612976465631	Matrix	NA	TRUE
Q3UHD2	Q3UHD2	GFOD1	Glucose-fructose oxidoreductase domain-containing protein 1 OS=Mus musculus GN=Gfod1 PE=1 SV=1	0.013594360035219025	0.04642189557688565	-0.1379813376454433	NA	NA	FALSE
Q9CYH5	Q9CYH5	GFOD2	Glucose-fructose oxidoreductase domain-containing protein 2 OS=Mus musculus GN=Gfod2 PE=2 SV=1	0.4820717047606683	0.6041790791761422	0.046386564852633566	NA	NA	FALSE
P47856	P47856	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Mus musculus GN=Gfpt1 PE=1 SV=3	0.01709068743587857	0.053611960838224906	0.1785914935000774	NA	NA	FALSE
P97785	P97785	GFRA1	GDNF family receptor alpha-1 OS=Mus musculus GN=Gfra1 PE=2 SV=2	0.28449255466503415	0.4099854112131186	0.08226326232701076	NA	NA	FALSE
O08842	O08842	GFRA2	GDNF family receptor alpha-2 OS=Mus musculus GN=Gfra2 PE=1 SV=2	0.016039714310723183	0.05139775256842905	-0.2361095265052081	NA	NA	FALSE
Q8R0H9	Q8R0H9	GGA1	ADP-ribosylation factor-binding protein GGA1 OS=Mus musculus GN=Gga1 PE=1 SV=1	0.32595071256258357	0.4513663287755059	-0.15895913903330725	NA	NA	FALSE
Q6P5E6	Q6P5E6	GGA2	ADP-ribosylation factor-binding protein GGA2 OS=Mus musculus GN=Gga2 PE=1 SV=1	2.3520499873149446e-4	0.0033743285941869217	0.2887325480056302	NA	NA	FALSE
Q8BMI3	Q8BMI3	GGA3	ADP-ribosylation factor-binding protein GGA3 OS=Mus musculus GN=Gga3 PE=1 SV=2	0.10249391336880308	0.19374416081047544	0.12591764993694993	NA	NA	FALSE
Q9D7X8	Q9D7X8	GGCT	Gamma-glutamylcyclotransferase OS=Mus musculus GN=Ggct PE=1 SV=1	0.0011858085320143423	0.009388901731328747	0.15308619210065308	NA	NA	FALSE
Q9QYC7	Q9QYC7	GGCX	Vitamin K-dependent gamma-carboxylase OS=Mus musculus GN=Ggcx PE=1 SV=1	0.15549748338906894	0.26275058330709355	0.09333149382705508	NA	NA	FALSE
Q9Z0L8	Q9Z0L8	GGH	Gamma-glutamyl hydrolase OS=Mus musculus GN=Ggh PE=1 SV=2	0.0027240228804468664	0.015938973916927175	-0.2297744753583804	NA	NA	FALSE
Q9WTN0	Q9WTN0	GGPS1	Geranylgeranyl pyrophosphate synthase OS=Mus musculus GN=Ggps1 PE=1 SV=1	0.48263714884936426	0.6042624831971124	0.08648991516459273	NA	NA	FALSE
Q99JP7	Q99JP7	GGT7	Gamma-glutamyltransferase 7 OS=Mus musculus GN=Ggt7 PE=1 SV=2	4.8450204158791225e-4	0.005246430449912311	0.28685709423820066	NA	NA	FALSE
Q91VC9	Q91VC9	GHITM	Growth hormone-inducible transmembrane protein OS=Mus musculus GN=Ghitm PE=1 SV=1	0.047941170579767683	0.1113524032589851	0.11572908171729474	MIM	NA	TRUE
Q9CPY6	Q9CPY6	GID4	Glucose-induced degradation protein 4 homolog OS=Mus musculus GN=Gid4 PE=1 SV=1	7.595194773419964e-5	0.0018404689960310955	0.6162474137485564	NA	E3 simple	FALSE
Q9D7M1	Q9D7M1	GID8	Glucose-induced degradation protein 8 homolog OS=Mus musculus GN=Gid8 PE=1 SV=1	0.06759352652200483	0.14176078414821328	0.11398450304550413	NA	NA	FALSE
Q99MR1	Q99MR1	GIGYF1	GRB10-interacting GYF protein 1 OS=Mus musculus GN=Gigyf1 PE=1 SV=2	0.23117293725950572	0.3531451393240123	0.063068890079354345	NA	NA	FALSE
Q6Y7W8	Q6Y7W8	GIGYF2	GRB10-interacting GYF protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2	0.8308944963250335	0.888394399895712	-0.023037838757656706	NA	NA	FALSE
Q9Z0G0	Q9Z0G0	GIPC1	PDZ domain-containing protein GIPC1 OS=Mus musculus GN=Gipc1 PE=1 SV=1	3.507195048332132e-8	1.371094064207343e-5	0.5248946876215194	NA	NA	FALSE
Q68FF6	Q68FF6	GIT1	ARF GTPase-activating protein GIT1 OS=Mus musculus GN=Git1 PE=1 SV=1	0.9054573572182918	0.9398665398938624	-0.007673609715832475	NA	NA	FALSE
Q9JLQ2	Q9JLQ2	GIT2	ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2	0.10277645273238702	0.19397837177822372	0.06336470657716504	NA	NA	FALSE
P23242	P23242	GJA1	Gap junction alpha-1 protein OS=Mus musculus GN=Gja1 PE=1 SV=2	0.25503014509205824	0.3793167514500284	0.07021197261339612	NA	NA	FALSE
Q64516	Q64516	GK	Glycerol kinase OS=Mus musculus GN=Gk PE=1 SV=2	0.9840451756594755	0.9910163538480146	-0.0035895566001031354	NA	NA	FALSE
P23780	P23780	GLB1	Beta-galactosidase OS=Mus musculus GN=Glb1 PE=1 SV=1	0.030794009252156737	0.07992616699108496	-0.15511495238156414	NA	NA	FALSE
Q8K3I9	Q8K3I9	GLCCI1	Glucocorticoid-induced transcript 1 protein OS=Mus musculus GN=Glcci1 PE=1 SV=1	0.041793170973532	0.1002747542920762	0.20087939315366055	NA	NA	FALSE
Q9EPS3	Q9EPS3	GLCE	D-glucuronyl C5-epimerase OS=Mus musculus GN=Glce PE=1 SV=2	0.4843550254225245	0.6058069754084965	0.06663388991157564	NA	NA	FALSE
Q91W43	Q91W43	GLDC	Glycine dehydrogenase (decarboxylating), mitochondrial OS=Mus musculus GN=Gldc PE=1 SV=1	0.016934801106070426	0.053283290200437886	-0.1895905401373664	Matrix	NA	TRUE
Q61543	Q61543	GLG1	Golgi apparatus protein 1 OS=Mus musculus GN=Glg1 PE=1 SV=1	0.5683904569247669	0.6816108719448651	-0.09203891913416296	NA	NA	FALSE
Q9CYL5	Q9CYL5	GLIPR2	Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=1 SV=3	0.02465761421932593	0.06854873092637515	-0.17992683582937774	NA	NA	FALSE
Q8BZM1	Q8BZM1	GLMN	Glomulin OS=Mus musculus GN=Glmn PE=1 SV=1	0.5136604794946358	0.6340924214010157	0.07766308603783725	NA	NA	FALSE
Q9CPU0	Q9CPU0	GLO1	Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3	0.2277171319839437	0.3490613064672767	0.059008086310911284	NA	NA	FALSE
Q9CPV4	Q9CPV4	GLOD4	Glyoxalase domain-containing protein 4 OS=Mus musculus GN=Glod4 PE=1 SV=1	0.08472564628845013	0.16765546268087805	0.1903906677461091	Matrix	NA	TRUE
Q7TNC8	Q7TNC8	GLRA2	Glycine receptor subunit alpha-2 OS=Mus musculus GN=Glra2 PE=1 SV=1	0.01483450089672223	0.048940795437501065	0.24662371724091073	NA	NA	FALSE
P48168	P48168	GLRB	Glycine receptor subunit beta OS=Mus musculus GN=Glrb PE=1 SV=2	0.22000171559532453	0.34079017608934004	-0.16523262867479957	NA	NA	FALSE
Q9QUH0	Q9QUH0	GLRX	Glutaredoxin-1 OS=Mus musculus GN=Glrx PE=1 SV=3	0.004047060004203374	0.02034916424943095	-0.15344255650398636	NA	NA	FALSE
Q923X4	Q923X4	GLRX2	Glutaredoxin-2, mitochondrial OS=Mus musculus GN=Glrx2 PE=1 SV=1	0.007618925528705329	0.031355317812866317	0.23085405122040398	Matrix	NA	TRUE
Q9CQM9	Q9CQM9	GLRX3	Glutaredoxin-3 OS=Mus musculus GN=Glrx3 PE=1 SV=1	0.0015080597029639028	0.010905102245132038	-0.40605088933224565	NA	NA	FALSE
Q80Y14	Q80Y14	GLRX5	Glutaredoxin-related protein 5, mitochondrial OS=Mus musculus GN=Glrx5 PE=1 SV=2	0.013941767654084074	0.04701052333091972	0.25757607836097646	Matrix	NA	TRUE
D3Z7P3	D3Z7P3	GLS	Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1	0.052358608661916765	0.1177221772754455	-0.1271129339485717	MIM	NA	TRUE
Q571F8	Q571F8	GLS2	Glutaminase liver isoform, mitochondrial OS=Mus musculus GN=Gls2 PE=1 SV=2	0.16841912687877922	0.27904659881269844	-0.06408308068101166	Matrix	NA	TRUE
Q6NSU3	Q6NSU3	GLT8D1	Glycosyltransferase 8 domain-containing protein 1 OS=Mus musculus GN=Glt8d1 PE=1 SV=1	0.6432789146455316	0.7433418827097358	-0.027374548649323153	NA	NA	FALSE
P26443	P26443	GLUD1	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1	0.06709410762853103	0.14125669579820319	0.080104000896322	Matrix	NA	TRUE
P15105	P15105	GLUL	Glutamine synthetase OS=Mus musculus GN=Glul PE=1 SV=6	0.31976061275512774	0.44545715652189843	-0.11938085186083738	NA	NA	FALSE
Q922P9	Q922P9	GLYR1	Putative oxidoreductase GLYR1 OS=Mus musculus GN=Glyr1 PE=1 SV=1	0.8196794019528542	0.8789807404791878	0.03438247179273873	NA	NA	FALSE
Q60648	Q60648	GM2A	Ganglioside GM2 activator OS=Mus musculus GN=Gm2a PE=1 SV=2	0.005147271651014531	0.023796144994158084	-0.5221395613284504	NA	NA	FALSE
A2AJA9	A2AJA9	GM996	Uncharacterized protein C9orf172 homolog OS=Mus musculus GN=Gm996 PE=1 SV=1	0.003710214839724291	0.019370422793766624	0.4413563147816715	NA	NA	FALSE
Q8K0C9	Q8K0C9	GMDS	GDP-mannose 4,6 dehydratase OS=Mus musculus GN=Gmds PE=1 SV=1	5.8979059407226404e-5	0.0015500588932445428	-0.4338475438720332	NA	NA	FALSE
Q9CQI3	Q9CQI3	GMFB	Glia maturation factor beta OS=Mus musculus GN=Gmfb PE=1 SV=3	0.008617774365776034	0.03424661922358901	0.2219178779700867	NA	NA	FALSE
Q6PGG2	Q6PGG2	GMIP	GEM-interacting protein OS=Mus musculus GN=Gmip PE=1 SV=1	0.005508563505837653	0.025022559716059926	0.1507256827119742	NA	NA	FALSE
Q922H4	Q922H4	GMPPA	Mannose-1-phosphate guanyltransferase alpha OS=Mus musculus GN=Gmppa PE=1 SV=1	0.03602886072017724	0.08996428095996353	0.15441244323888417	NA	NA	FALSE
Q8BTZ7	Q8BTZ7	GMPPB	Mannose-1-phosphate guanyltransferase beta OS=Mus musculus GN=Gmppb PE=1 SV=1	0.029926579365232447	0.07832249118390333	0.17948864406287418	NA	NA	FALSE
Q9DCZ1	Q9DCZ1	GMPR	GMP reductase 1 OS=Mus musculus GN=Gmpr PE=1 SV=1	0.01630525195094019	0.05200884801281535	0.17275482413877466	NA	NA	FALSE
Q99L27	Q99L27	GMPR2	GMP reductase 2 OS=Mus musculus GN=Gmpr2 PE=1 SV=2	0.05399747112116185	0.12045441578561603	0.119477925700889	NA	NA	FALSE
Q3THK7	Q3THK7	GMPS	GMP synthase [glutamine-hydrolyzing] OS=Mus musculus GN=Gmps PE=1 SV=2	0.22375228500380026	0.34514686626356855	0.07255518934541745	NA	NA	FALSE
P21278	P21278	GNA11	Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus GN=Gna11 PE=1 SV=1	2.83749990584211e-5	0.0010440330535907295	0.34993172542567824	NA	NA	FALSE
P27600	P27600	GNA12	Guanine nucleotide-binding protein subunit alpha-12 OS=Mus musculus GN=Gna12 PE=1 SV=3	0.4011737595973398	0.5286437798927732	-0.03534493908100474	NA	NA	FALSE
